,title,decription,link
0,کتاب شغل مورد علاقه, کتاب شغل مورد علاقه اثر آلن دوباتن، نویسنده و فیلسوف سوئیسی است که دوره دکترای فلسفه در دانشگاه هاروارد را رها کرد تا کتاب‌های فلسفی...,https://kafebook.ir/%da%a9%d8%aa%d8%a7%d8%a8-%d8%b4%d8%ba%d9%84-%d9%85%d9%88%d8%b1%d8%af-%d8%b9%d9%84%d8%a7%d9%82%d9%87/
1,کتاب هاروارد چه چیزهایی را یاد نمی دهد, کتاب هاروارد چه چیزهایی را یاد نمی دهد با عنوان فرعی اسرار موفقیت در تجارت و مدیریت، کتابی در حوزه مدیریت، بازاریابی و موفقیت در...,https://kafebook.ir/%da%a9%d8%aa%d8%a7%d8%a8-%d9%87%d8%a7%d8%b1%d9%88%d8%a7%d8%b1%d8%af-%da%86%d9%87-%da%86%db%8c%d8%b2%d9%87%d8%a7%db%8c%db%8c-%d8%b1%d8%a7-%db%8c%d8%a7%d8%af-%d9%86%d9%85%db%8c-%d8%af%d9%87%d8%af/
2,کتاب از خوب به عالی, کتاب از خوب به عالی با عنون اصلی Good to great نوشته جیم کالینز است. کالینز به عنوان استادی که سال‌ها به مطالعه شرکت‌های باثبات...,https://kafebook.ir/%da%a9%d8%aa%d8%a7%d8%a8-%d8%a7%d8%b2-%d8%ae%d9%88%d8%a8-%d8%a8%d9%87-%d8%b9%d8%a7%d9%84%db%8c/
3,دکترای سئو, اگر دقت کرده باشید، مدتی است که در دانشگاه یا هر جای دیگری گلایه از کار و آینده شغلی داشته باشید؛ سریع به شما پیشنهاد...,https://kafebook.ir/%d8%af%da%a9%d8%aa%d8%b1%d8%a7%db%8c-%d8%b3%d8%a6%d9%88/
4,کتاب سنگفرش هر خیابان از طلاست, کتاب سنگفرش هر خیابان از طلاست اثر کیم وو چونگ، مدیر و موسس کمپانی دوو است. این کتاب مجموعه‌ای از یادداشت‌های کیم وو چونگ خطاب به کشورش است...,https://kafebook.ir/%da%a9%d8%aa%d8%a7%d8%a8-%d8%b3%d9%86%da%af%d9%81%d8%b1%d8%b4-%d9%87%d8%b1-%d8%ae%db%8c%d8%a7%d8%a8%d8%a7%d9%86-%d8%a7%d8%b2-%d8%b7%d9%84%d8%a7%d8%b3%d8%aa/
5,کتاب هنر شفاف اندیشیدن, کتاب هنر شفاف اندیشیدن با عنوان اصلی The art of thinking clearly کتابی در زمینه تصمیم‌گیری، شناخت و اشتباه‌ها از جنبه‌های روان‌شناسی اثر رولف دوبلی...,https://kafebook.ir/%da%a9%d8%aa%d8%a7%d8%a8-%d9%87%d9%86%d8%b1-%d8%b4%d9%81%d8%a7%d9%81-%d8%a7%d9%86%d8%af%db%8c%d8%b4%db%8c%d8%af%d9%86/
6,کتاب تست مامان,کتاب تست مامان برگردانِ فارسی کتاب The Mom Test: How to talk to customers است که با اجازه‌ی رسمی از نویسنده و ناشر آن منتشر…,https://kafebook.ir/%da%a9%d8%aa%d8%a7%d8%a8-%d8%aa%d8%b3%d8%aa-%d9%85%d8%a7%d9%85%d8%a7%d9%86/
7,دروغ های مسلح,در دنیای امروز، چالشی که در پیش روی ما قرار دارد، در واقع کنکاش در مورد حقیقت است. حقیقتی که گاه ممکن است بسیار دستکاری…,https://kafebook.ir/%d8%af%d8%b1%d9%88%d8%ba-%d9%87%d8%a7%db%8c-%d9%85%d8%b3%d9%84%d8%ad/
8,کتاب رهبری, کتاب رهبری - درس هایی که از زندگی و سال های حضورم در منچستر یونایتد آموختم - نوشته سِر الکس فرگوسن مربی افسانه ای تیم...,https://kafebook.ir/%da%a9%d8%aa%d8%a7%d8%a8-%d8%b1%d9%87%d8%a8%d8%b1%db%8c/
9,کفش باز, کفش باز – خاطرات بنیان گذار نایکی – نوشته فیل نایت، بدون شک یکی از بهترین کتاب های مدیریتی خواهد بود که در سراسر عمر...,https://kafebook.ir/%da%a9%d9%81%d8%b4-%d8%a8%d8%a7%d8%b2/
